1997-12-12   10614.70
1997-12-15   10435.20
1997-12-16   10346.40
1997-12-17   10692.70
1997-12-18   10754.10
1997-12-19   10405.80
1997-12-22   10172.50
1997-12-23   10368.10
1997-12-24   10342.40
1997-12-29   10503.00
1997-12-30   10755.20
1997-12-31   10722.80
1998-01-02   10680.60
1998-01-05   10303.50
1998-01-06   10135.50
1998-01-07    9538.60
1998-01-08    9254.50
1998-01-09    8894.60
1998-01-12    8121.10
1998-01-13    8720.00
1998-01-14    9226.60
1998-01-15    8579.00
1998-01-16    8900.00
1998-01-19    9400.40
1998-01-20    9433.70
1998-01-21    9246.80
1998-01-22    8883.70
1998-01-23    8920.20
1998-01-26    8973.90
1998-01-27    9252.40
1998-02-02   10578.60
1998-02-03   10525.50
1998-02-04   10302.60
1998-02-05   10442.10
1998-02-06   10485.90
1998-02-09   10873.20
1998-02-10   10859.70
1998-02-11   10793.40
1998-02-12   10620.00
1998-02-13   10274.60
1998-02-16   10124.00
1998-02-17   10232.00
1998-02-18   10671.00
1998-02-19   10581.30
1998-02-20   10600.00
1998-02-23   10685.20
1998-02-24   10683.30
1998-02-25   10886.70
1998-02-26   11224.80
1998-02-27   11480.70
1998-03-02   11318.80
1998-03-03   11425.50
1998-03-04   11350.80
1998-03-05   10803.70
1998-03-06   10919.50
1998-03-09   10994.10
1998-03-10   10898.60
1998-03-11   11118.90
1998-03-12   10902.50
1998-03-13   11057.00
1998-03-16   11181.50
1998-03-17   11255.50
1998-03-18   11121.70
1998-03-19   11445.00
1998-03-20   11564.20
1998-03-23   11594.30
1998-03-24   11645.40
1998-03-25   11810.60
1998-03-26   11757.90
1998-03-27   11735.50
1998-03-30   11503.80
1998-03-31   11518.70
1998-04-01   11331.40
1998-04-02   11189.70
1998-04-03   11052.70
1998-04-07   11049.40
1998-04-08   11314.50
1998-04-09   11342.00
1998-04-14   11420.30
1998-04-15   11371.10
1998-04-16   11187.80
1998-04-17   11001.30
1998-04-20   11151.60
1998-04-21   10968.30
1998-04-22   10977.50
1998-04-23   10918.90
1998-04-24   10879.90
1998-04-27   10593.70
1998-04-28   10678.61
1998-04-29   10471.15
1998-04-30   10383.68
1998-05-01   10563.68
1998-05-04   10439.42
1998-05-05   10153.66
1998-05-06   10109.14
1998-05-07    9971.93
1998-05-08   10060.38
1998-05-11   10096.37
1998-05-12    9841.51
1998-05-13    9469.29
1998-05-14    9591.95
1998-05-15    9538.39
1998-05-18    9411.97
1998-05-19    9449.11
1998-05-20    9549.18
1998-05-21    9670.45
1998-05-22    9555.98
1998-05-25    9544.53
1998-05-26    9482.21
1998-05-27    8983.43
1998-05-28    8877.94
1998-05-29    8934.56
1998-06-01    8612.01
1998-06-02    8598.17
1998-06-03    8819.22
1998-06-04    8558.43
1998-06-05    8569.47
1998-06-08    8586.63
1998-06-09    8391.46
1998-06-10    7979.37
1998-06-11    7886.07
1998-06-12    7915.44
1998-06-15    7462.50
1998-06-16    7526.45
1998-06-17    8004.35
1998-06-18    8515.97
1998-06-19    8591.91
1998-06-22    8204.21
1998-06-23    8219.67
1998-06-24    8296.77
1998-06-25    8665.83
1998-06-26    8607.86
1998-06-29    8460.71
1998-06-30    8543.10
1998-07-02    8866.16
1998-07-03    8639.31
1998-07-06    8484.12
1998-07-07    8444.18
1998-07-08    8629.18
1998-07-09    8433.78
1998-07-10    8205.77
1998-07-13    8099.20
1998-07-14    8178.93
1998-07-15    8456.22
1998-07-16    8586.57
1998-07-17    8628.93
1998-07-20    8493.25
1998-07-21    8564.55
1998-07-22    8420.72
1998-07-23    8176.25
1998-07-24    8257.46
1998-07-27    7984.43
1998-07-28    7926.10
1998-07-29    7808.83
1998-07-30    7906.16
1998-07-31    7936.20
1998-08-03    7552.77
1998-08-04    7580.80
1998-08-05    7466.43
1998-08-06    7254.36
1998-08-07    7018.41
1998-08-10    7034.62
1998-08-11    6779.95
1998-08-12    6859.48
1998-08-13    6660.42
1998-08-14    7224.69
1998-08-17    7224.69
1998-08-18    7210.92
1998-08-19    7622.58
1998-08-20    7742.53
1998-08-21    7527.61
1998-08-24    7845.48
1998-08-25    7890.09
1998-08-26    7834.40
1998-08-27    7922.97
1998-08-28    7829.74
1998-08-31    7275.04
1998-09-01    7062.47
1998-09-02    7355.67
1998-09-03    7318.59
1998-09-04    7488.47
1998-09-07    8076.76
1998-09-08    8189.25
1998-09-09    7905.45
1998-09-10    7849.96
1998-09-11    7578.48
1998-09-14    7661.86
1998-09-15    7733.47
1998-09-16    7860.68
1998-09-17    7576.57
1998-09-18    7445.96
1998-09-21    7170.23
1998-09-22    7373.51
1998-09-23    7504.39
1998-09-24    7834.61
1998-09-25    7701.61
1998-09-28    7946.04
1998-09-29    7837.61
1998-09-30    7883.46
1998-10-05    7564.54
1998-10-07    7744.72
1998-10-08    7939.51
1998-10-09    8506.79
1998-10-12    8990.27
1998-10-13    9008.83
1998-10-14    8840.01
1998-10-15    8970.42
1998-10-16    9777.01
1998-10-19    9599.05
1998-10-20    9642.75
1998-10-21    9662.12
1998-10-22    9658.58
1998-10-23    9817.75
1998-10-26    9778.91
1998-10-27    9927.05
1998-10-29    9931.46
1998-10-30   10154.94
1998-11-02   10170.08
1998-11-03   10358.52
1998-11-04   10508.25
1998-11-05   10221.98
1998-11-06   10139.75
1998-11-09    9851.93
1998-11-10    9721.33
1998-11-11   10137.32
1998-11-12    9948.18
